"cn.code","country","location","week","value"
"SF","South Africa","Mpumalanga",10,0.86705609712578
"SF","South Africa","Mpumalanga",11,0.875169548366719
"SF","South Africa","Mpumalanga",12,0.888611382083347
"SF","South Africa","Mpumalanga",13,0.902584548443972
"SF","South Africa","Mpumalanga",14,0.91855148630102
"SF","South Africa","Mpumalanga",15,0.929709814426937
"SF","South Africa","Mpumalanga",16,0.950335081433563
"SF","South Africa","Mpumalanga",17,0.972341928652634
"SF","South Africa","Mpumalanga",18,1.01001662703795
"SF","South Africa","Mpumalanga",19,1.04401543746866
"SF","South Africa","Mpumalanga",20,1.09089083274994
"SF","South Africa","Mpumalanga",21,1.13820316740236
"SF","South Africa","Mpumalanga",22,1.17042340677236
"SF","South Africa","Mpumalanga",23,1.19887918209882
"SF","South Africa","Mpumalanga",24,1.20302734398914
"SF","South Africa","Mpumalanga",25,1.21644345670898
"SF","South Africa","Mpumalanga",26,1.21507631794273
"SF","South Africa","Mpumalanga",27,1.22986057920345
"SF","South Africa","Mpumalanga",28,1.25927332737956
"SF","South Africa","Mpumalanga",29,1.27240605679244
"SF","South Africa","Mpumalanga",30,1.2656856239938
"SF","South Africa","Mpumalanga",31,1.23062104373233
"SF","South Africa","Mpumalanga",32,1.20440754175578
"SF","South Africa","Mpumalanga",33,1.17002772381374
"SF","South Africa","Mpumalanga",34,1.16001731802839
"SF","South Africa","Mpumalanga",35,1.13968880331106
"SF","South Africa","Mpumalanga",36,1.13442147528633
"SF","South Africa","Mpumalanga",37,1.09662401189778
"SF","South Africa","Mpumalanga",38,1.07042462776146
"SF","South Africa","Mpumalanga",39,1.04012083077792
"SF","South Africa","Mpumalanga",40,1.01280952116335
"SF","South Africa","Mpumalanga",41,0.984288314259411
"SF","South Africa","Mpumalanga",42,0.958494407658618
"SF","South Africa","Mpumalanga",43,0.945086487541513
"SF","South Africa","Mpumalanga",44,0.928330830426397
"SF","South Africa","Mpumalanga",45,0.917764790675473
"SF","South Africa","Mpumalanga",46,0.900042897205018
"SF","South Africa","Mpumalanga",47,0.880842800124749
"SF","South Africa","Mpumalanga",48,0.862193468259822
"SF","South Africa","Mpumalanga",49,0.853597488323016
"SF","South Africa","Mpumalanga",50,0.838603509467468
"SF","South Africa","Mpumalanga",51,0.823192074978801
"SF","South Africa","Mpumalanga",52,0.808606621129395
"SF","South Africa","Mpumalanga",53,0.810826019494002
"SF","South Africa","North West",1,0.673552488063165
"SF","South Africa","North West",2,0.682674705158633
"SF","South Africa","North West",3,0.687241980630023
"SF","South Africa","North West",4,0.691058374940819
"SF","South Africa","North West",5,0.691794372955739
"SF","South Africa","North West",6,0.697803787449169
"SF","South Africa","North West",7,0.708377745997921
"SF","South Africa","North West",8,0.723183523425646
"SF","South Africa","North West",9,0.736181399718294
"SF","South Africa","North West",10,0.753985004318239
"SF","South Africa","North West",11,0.784659053525129
"SF","South Africa","North West",12,0.822130198446646
"SF","South Africa","North West",13,0.863914005799141
"SF","South Africa","North West",14,0.9031363534679
"SF","South Africa","North West",15,0.933518694521556
"SF","South Africa","North West",16,0.9685385513747
"SF","South Africa","North West",17,1.00772189479272
"SF","South Africa","North West",18,1.06529684644757
"SF","South Africa","North West",19,1.11058718333482
"SF","South Africa","North West",20,1.15478912227008
"SF","South Africa","North West",21,1.19691751496332
"SF","South Africa","North West",22,1.2290507795902
"SF","South Africa","North West",23,1.25737926959378
"SF","South Africa","North West",24,1.26700595781208
"SF","South Africa","North West",25,1.28223353991684
"SF","South Africa","North West",26,1.29509668059606
"SF","South Africa","North West",27,1.31178649183663
"SF","South Africa","North West",28,1.34360002928684
"SF","South Africa","North West",29,1.36629818725161
"SF","South Africa","North West",30,1.37674656984801
"SF","South Africa","North West",31,1.36660801690776
"SF","South Africa","North West",32,1.34838102063278
"SF","South Africa","North West",33,1.32227228506269
"SF","South Africa","North West",34,1.31053697746162
"SF","South Africa","North West",35,1.30159972932906
"SF","South Africa","North West",36,1.29864381928563
"SF","South Africa","North West",37,1.25822348442687
"SF","South Africa","North West",38,1.22188139261918
"SF","South Africa","North West",39,1.17205549706031
"SF","South Africa","North West",40,1.10104417041257
"SF","South Africa","North West",41,1.00457014615872
"SF","South Africa","North West",42,0.92389071050826
"SF","South Africa","North West",43,0.887341601188938
"SF","South Africa","North West",44,0.86969974470974
"SF","South Africa","North West",45,0.843916481474539
"SF","South Africa","North West",46,0.817545696261266
"SF","South Africa","North West",47,0.782045075385061
"SF","South Africa","North West",48,0.758993534585644
"SF","South Africa","North West",49,0.734665698493008
"SF","South Africa","North West",50,0.712743614955226
"SF","South Africa","North West",51,0.693594090242328
"SF","South Africa","North West",52,0.672314302912275
"SF","South Africa","North West",53,0.670939078623724
"SF","South Africa","Nothern Cape",1,0.717866066795203
"SF","South Africa","Nothern Cape",2,0.686331996577148
"SF","South Africa","Nothern Cape",3,0.687368896036907
"SF","South Africa","Nothern Cape",4,0.679175323453307
"SF","South Africa","Nothern Cape",5,0.672982496068182
"SF","South Africa","Nothern Cape",6,0.67543417835487
"SF","South Africa","Nothern Cape",7,0.674436821922786
"SF","South Africa","Nothern Cape",8,0.68993910178957
"SF","South Africa","Nothern Cape",9,0.696995155755591
"SF","South Africa","Nothern Cape",10,0.730200321800822
"SF","South Africa","Nothern Cape",11,0.775464627012475
"SF","South Africa","Nothern Cape",12,0.828753253270055
"SF","South Africa","Nothern Cape",13,0.868961763069298
"SF","South Africa","Nothern Cape",14,0.921077936427576
"SF","South Africa","Nothern Cape",15,0.965695290952449
"SF","South Africa","Nothern Cape",16,1.01035254657815
"SF","South Africa","Nothern Cape",17,1.03419668760491
"SF","South Africa","Nothern Cape",18,1.06677806418216
"SF","South Africa","Nothern Cape",19,1.09343408568291
"SF","South Africa","Nothern Cape",20,1.1178029027569
"SF","South Africa","Nothern Cape",21,1.13663571443064
"SF","South Africa","Nothern Cape",22,1.15221714348982
"SF","South Africa","Nothern Cape",23,1.1752688000748
"SF","South Africa","Nothern Cape",24,1.19217739018194
"SF","South Africa","Nothern Cape",25,1.20815530950332
"SF","South Africa","Nothern Cape",26,1.21830213451284
"SF","South Africa","Nothern Cape",27,1.23085036286451
"SF","South Africa","Nothern Cape",28,1.24744511661327
"SF","South Africa","Nothern Cape",29,1.25846888310254
"SF","South Africa","Nothern Cape",30,1.26141591650012
"SF","South Africa","Nothern Cape",31,1.26798204412216
"SF","South Africa","Nothern Cape",32,1.26199224575567
"SF","South Africa","Nothern Cape",33,1.2498769478754
"SF","South Africa","Nothern Cape",34,1.23534519613676
"SF","South Africa","Nothern Cape",35,1.23535892451249
